	Filename / Номер оригинала в архиве	Source Text Title (or first line) / Название или первая строка	Genre / Жанр	Source Text Size (in tokens) / Объем в словоупотреблениях	Number of Translations / Кол-во переводов
SECTION _1					
	EN*_1_1	Looking After the Twenty Percent	Essay	533	4
	EN_1_2	Diamonds Are Forever	Essay	700	9
	EN_1_3	Credit Out of Control	Essay	642	16
	EN_1_4	Do Insects Think?	Essay	481	6
	EN_1_5	Down with the Death Penalty	Essay	891	2
	EN_1_6	Going Global	Essay	539	4
	EN_1_7	The Hopper Landscape	Essay	406	32
	EN_1_8	Our romance with the car	Essay	346	16
	EN_1_9	Interview about glaucoma	Interview	654	2
	EN_1_10	Firms Urged to Provide Child Care for Staff	Informational	236	7
	EN_1_11	Depression in elderly often undetected	Educational	335	9
	EN_1_12	E-mail	Essay	233	6
	EN_1_13	Home Removals Service	Advertisement	398	4
	EN_1_14	English - The World’s Language	Speech	602 (part)	3
	EN_1_15	Speech on Managed Migration and Earned Citizenship	Speech	474 (part)	4
	EN_1_16	Mounting Instructions	Tech	328 (part)	7
	EN_1_17	3 letters: Letter Asking For Sponsorship, Complaint, Direct Marketing Letter 	Letters	569	3
	EN_1_18	Company Performance Report LOREAL	Informational	518	17
	EN_1_19	A Terrible Divide	Essay	812	1
	EN_1_20	Should You Include an Arbitration Clause in Your Contracts?	Educational	546	1
	EN_1_21	Can the U.S. export freedom?	Interview	1332	3
	EN_1_22	Entrepreneurs	Essay	544	1
	EN_1_23	Ice-cream and banking	Essay	680	1
	EN_1_24	Stay Shapely; Stay Healthy	Informational	665	3
	EN_1_25	Are work suits on the way out?	Essay	694	11
	EN_1_26	The Second Stage	Essay	433	5
	EN_1_27	Russia has worried about America's projection of unilateral power	Informational	164	1
	EN_1_28	NATO formally welcomed Russia as a participant	Informational	341	1
	EN_1_29	One of the more irritating conventional wisdoms of recent times is that adolescence is a horrendously traumatic	Essay	290	3
	EN_1_30	Until then the infant Labour party had been the junior of the Liberals	Essay	197	1
	EN_1_31	It would be wrong to say that economic integration neuters democracy or,	Essay	199	7
	EN_1_32	The Comprehensive Political Guidance is a major policy document	Informational	186	12
	EN_1_33	The role of the Japanese military is a touchy subject	Essay	216	1
	EN_1_34	Manias, Panics and Crashes	Educational	10327	1
	EMPTY				
	EN_1_36	10 Places on Earth That Look Completely Alien	Informational	247	9
	EN_1_37	Budgetary Proposal.Proposal To Build And Supply A Linear Gamma Ray Core Scanning System	Letters	988	1
	EN_1_38	Introduction the web-based Digital AnalogsTM Knowledge System (DAKSTM)	Tech	1292	1
	EN_1_39	CHAPTER 1 International Markets	Educational	10 300	1
	EN_1_40	Food inflation at 10.63% for week ended Nov 5	Informational	430	1
	EN_1_41	Bank of America to slash 30 000 jobs	Informational	312	1
	EN_1_42	Australian PM says steel industry still critical	Informational	310	1
